translation,selected_choice
于是便邀她一道进入青绮门的一个酒家。,蹙入青绮门
却不畏朔风大雪之严寒。,不道朔雪寒
我站在楼上把四面的帘子高高挂起，然后静静地躺下。,朱楼四面钩疏箔
燕地小草像碧丝般青绿。,燕草如碧丝
别人得到的知识不能代替自己的才能。,他得非我贤
我试着登上高山是为了遥望。,相望试登高
蜀僧怀抱着绿绮琴。,蜀僧抱绿绮
昆仑山南边的月亮快要西斜时。,昆仑山南月欲斜
朝霞映红的天际璀璨美丽。,坐看霞色晓
江面烟雨迷濛，江边绿草如茵，六朝先后衰亡。,江雨霏霏江草齐
高桥不用倚扶吗？,桥危可免扶
他们每天都要出海去采撷珍珠，杀象取牙来缴纳赋税。,采珠役象为岁赋
春天的夜晚，即便是极短的时间也十分珍贵。,春宵一刻值千金
由于四处都可通行，所以城门的铁锁也打开了。,星桥铁锁开
那些曾经在秦淮河身边风流一世的六代人物，如今都在哪里。,六代精灵人不见
只有春色不管人情世故。,春色无情故
梅翁的诗文追求清新准确，就象寒泉冲激锐石，清冷峻峭。,梅翁事清切，石齿漱寒濑。
有朝一日，我要当了春神，我将安排菊花和桃花同在春天盛开。,他年我若为青帝，报与桃花一处开。
两山如发髻屹立，正对江水之境，二美梳弄新妆。,峨峨两烟鬟，晓镜开新妆。
扎紧战袍，系上红缨大刀。,金带连环束战袍
把他看成是容易污损的假玉。,乃与燕珉齐
竹阁池中的水也结满冰霜。,冰生竹阁池
在木星下凡落入汉朝的那一年。,岁星入汉年
我虽是再次充任连州刺史，却与西汉黄霸两任颍川太守截然不同，更是自叹不如三次被贬黜的柳下惠。,重临事异黄丞相，三黜名惭柳士师。
没有人知道道士的去向。,无人知所去
梧桐的树影映在屋门口的珍珠帘子上。,真珠帘外梧桐影
友人在黄鹤楼与我辞别，在柳絮如烟、繁花似锦的阳春三月去扬州远游。,故人西辞黄鹤楼，烟花三月下扬州。
只觉炎热的天气世人感到乏困，白昼也开始变得漫长。,困人天气日初长
风中传来阁道上来回的马蹄声。,风传阁道马蹄回
行军途中，战士吹起笛曲《行路难》。,横笛偏吹行路难
杀鸡煮饭备筵席。,鸡黍事筵席
日复一日的在桃花旁。,花前花后日复日
大雾迷漫，塞满寒冷的天空。,蚩尤塞寒空
饮洒末醉已听傍晚鸡啼。,酒行未醉闻暮鸡
你这个年龄应该饱读诗书，辞章之学的妙处，你似乎已经领悟了。,应须饱经术，已似爱文章。
我深深感到孤独，只是自己的形体与影子相怜。,形影自相怜
辨别木材还要等七年以后。,辨材须待七年期
不过眼下诗和酒还能听我驱遣。,诗酒尚堪驱使在
立誓归隐辞官而去。,誓将挂冠去
水边的渡口一轮新月刚刚升起。,渡口月初上
我不像道士那样去炼金丹以追求人生不老，也不像和尚那样去坐禅。,不炼金丹不坐禅
山连山如波涛起伏。,连山若波涛
但只有您才与我真正地志同道合。,片言道合惟有君
如果经常是每年落一个。,倘常岁一落
落日的余晖洒满金色秋山。,落日满秋山
此夜梦中我未能和想念的人见面，心情惆怅，只好起来在残月下伴影徘徊。,此夜断肠人不见，起行残月影徘徊。
金蕾开放香气连连。,金拆小苞香
我也思念故乡，但也不能归去。,思归未可得
可事过境迁，只留下遗憾和叹息。,故绕池边树
幽深的洞窟神龙深潜。,幽窟潜神蛟
却无你的消息，等到石榴花红。,断无消息石榴红
原野上火光冲天 ，火势盛大，野雉被猎火驱出草木丛，一见猎鹰，又吓得急忙躲藏起来。,原头火烧静兀兀，野雉畏鹰出复没。
边城的将士都承受主上的恩惠赏赐。,边将皆承主恩泽
下看飞鸟屈指可数。,下窥指高鸟
清泉浅浅地回漩在石上傍依着高高的柳树。,泉回浅石依高柳
浪涛涌来，卷起了千堆万堆白雪。,惊涛来似雪
想到想起家乡，这谪居岁月何时是个尽头，想起这些真是肝肠寸断。,红槿花中越鸟啼
天地也为你悲伤。,天地亦悲秋
著文是自己之事。,文章乃余事
斜阳渐下小楼。,斜阳下小楼
倒酒招呼客人。,呼樽来揖客
仙人回答说他来自水中央。,言从水中央
又宛如碧玉，媲美美人丽华。,碧玉今时斗丽华
朝廷对衡山施以祭祀之典。,邦家用祀典
一起畅饮共为重阳菊花干杯。,陶然共醉菊花杯
他们不但捧着茶水和酒浆夹道迎接士兵，还把洛水的鲜笋，黄河的活鱼一次次送上门来。,不论夹道壶浆满，洛笋河鲂次第来。
住在小楼听尽了一夜的春雨淅沥滴答。,小楼一夜听春雨
吴地的官军在上辽津渡水。,半渡上辽津
也不为之悲哀。,心亦不能为之哀
花宫山岳相映看。,花宫映岳看
手握我那可以横扫九野的长剑。,长剑横九野
说我是杞国之人无事担忧天倾塌。,以额扣关阍者怒
鹦鹉曾经来到吴江的岸边。,鹦鹉来过吴江水
我读遍高士传。,我寻高士传
谁说天不高地不广。,天地岂不宽
然而偶然粘上衣袖的梅花，香气却经久不灭。,偶粘衣袖久犹香
只能象接舆那样，佯狂楚路高歌抒情。,楚路高歌自欲翻
湖面水波荡漾。,楚水殊演漾
我从少年时起就摆弄文墨。,少年弄文墨
阳光照耀下如彩虹一样绚烂。,日照虹霓似
古代女子十五岁正当青春，体态最为婀娜多姿，妩媚而动人。,谓谁朝来不作意
他乡的游子不想再次回还。,游子不顾反
还能再有多少天呢，春天就要过去了。,能消几日春
你认为与群鸡争食物是可耻的。,耻将鸡并食
客居他乡使我脸色变得憔悴不堪。,他乡变容色
翻腾的水池如同明月一样皎洁。,沸珠跃明月
啊，月光是多么清悠，猿啼又是多么凄惨。,月色何悠悠，清猿响啾啾。
尽管面对着良辰美景，仍然是满面愁容。,看花满眼泪
下雪的地方看上去疑是开满了白白的梅花。,雪处疑花满
唯有春草，晚山依然青碧。,六朝遗恨晚山青
遥远的蓬莱岛有永不消失的清凉。,蓬莱之远常遗寒
花草飘香的春季又将过去。,过却芳菲节
早晨的太阳照耀着寒冷的原野。,旭日照寒野
翻看前人的残卷遗篇。,观书散遗帙
边风扫荡北地所向披靡。,边风扫北平
车马备齐扬起鞭儿上路了。,扬鞭簇车马
战乱不止。,山河战角悲
辞去官职后生活清闲胜过分司。,致仕胜分司
也高兴没有车马经过相邀出游。,喜无车马过相邀
贪图捷径必然走投无路。,夫惟捷径以窘步
将军乘坐佩饰金鞍的白马随皇帝出征。,白马金鞍从武皇
石崇的金谷园中初春草色刚刚绿。,金谷园中草初绿
他们笑着询问我：这客人是从哪里来的呀？,笑问客从何处来
只见风雨中残枝败叶纷纷飘落。,木叶啼风雨
西施扬起娥眉就到吴国去了。,扬蛾入吴关
渭城早晨一场春雨沾湿了轻尘。,渭城朝雨浥轻尘
月照寒江，夜色中隔江相望，烟波浩渺。,江南江北望烟波
人生有时会弄得穷困无能，对着黄昏，姑且喝几杯酒。,人生有穷拙，日暮聊饮酒。
农夫们荷锄回到了村里。,田夫荷锄至
谢公城边被溪水声响惊醒酣梦。,谢公城畔溪惊梦
大风卷走寒冷的云朵，昨晚虽然下了雪但今天天气晴朗了。,风卷寒云暮雪晴
春天里城中的儿女纵情地春游。,春城儿女纵春游
眨眼间就要从此随船远去，这次出门。,舟楫眇然自此去
天空圆月把弓影投射到地上。,满月临弓影
枯草丛中飘来阵阵余香，它们仍希望有情之人来亲近自己。,含芳如有情
忧愁到来一天也觉得太长。,愁来一日即为长
白龙上天投诉，天帝说：谁叫你变化为鱼。,谁使尔为鱼
小舟也是为了沽名而来。,扁舟亦是为名来
九日在龙山宴饮。,九日龙山饮
生出早秋的意境。,生此幽闲中
人心却不如草那样执著坚定。,人心不如草
芦花摇曳犹如一片一片的白霜。,芦花似朝霜
映入门帘的是残月的光影。,卷帘残月影
怎样能将世上的死别。,争将世上无期别
花椒专横谄媚十分傲慢。,椒专佞以慢慆兮
也学一学山公欲上马的醉态。,山公欲上马
二月的江南花开满枝头。,二月江南花满枝
年年都会有按时吹来的东风。,岁岁有东风
放眼望去，江浦上水汽氤氲云集，海上的明月与白帆一起冉冉上升。,流目浦烟夕，扬帆海月生。
心想再弹奏蜀琴，又怕触动鸳鸯弦。,蜀琴欲奏鸳鸯弦
青春的日子十分容易逝去，学问却很难获得成功。,少年易老学难成
岂是为了妻子儿女打算。,岂为妻子谋
寒冬腊月一日的时间特别短，织得的绫罗短得不满一尺。,腊天日短不盈尺
在滩头时抑时扬。,滩声抑更扬
要问她们洒在竹子上的泪痕何时才能灭去，恐怕只有等到苍梧山崩、湘水绝流的时候了。,苍梧山崩湘水绝，竹上之泪乃可灭。
我暂且去体验伏羲时的民情。,聊适羲皇情
我急忙提笔写下了这首诗歌，恐怕稍有延迟。,作诗火急追亡逋
托您的荫蔽。,翳君树桃李
自从我离开那里，一年年的发生了变化，但今天我还是能够将那一木一石辨清。,我离虽则岁物改，如今了然失所在。
临别时再三相告。,临分出苦语
高高葡萄架子松散歪斜倒了又被扶起。,高架支离倒复扶
清浅的月光映照在我的枕头上。,清光到枕上
一年之中最美的就是这早春的景色。,最是一年春好处
阅历世事行走于人间。,阅世走人间
丘陵上已满是乔木。,丘陵尽乔木
春水载送着一叶孤舟。,春水送孤舟
守望岗楼上报更的刁斗催月落。,戍楼刁斗催落月
梅岭花朵盛开的时候。,梅岭花初发
窗外梧桐树缝的月影，斑斑驳驳地铺洒在冰凉的床席上，而从梧桐缝里看上去的月亮依然是那么明亮。,铺床凉满梧桐月，月在梧桐缺处明。
白云依偎安静沙洲。,白云依静渚
心绪恨怨眉头紧锁不开。,眉月连娟恨不开
德才兼备的人们虽然没有在同一时代。,英贤虽异世
像嫩绿凤尾刚生芽。,翠茁凤生尾
飒飒秋风中，我从襄阳行三百里去见商英。,秋风十驿望台星
雪花胡乱飘洒，寺院中煮着茶青烟湿气弥漫。,乱飘僧舍茶烟湿
我在京城里结交的都是些豪杰义士，彼此意气相投。,京华结交尽奇士
兰舟上的采莲女把湖上的荷花采下来送给游人，在细雨斜风里，她们头上的翠翘被打湿。,献花游女木兰桡，细雨斜风湿翠翘。
从冬天到来年，只有用难以下咽，毫无营养的橡子来欺骗自己的肚子。,橡实诳饥肠
正当扶病强起之际。,力疾坐清晓
人的时光俯仰之间就已逝去。,年时俯仰过
闲坐无事谈论唐玄宗。,闲坐说玄宗
老渔夫刚刚钓得的尺把长的鲈鱼。,一尺鲈鱼新钓得
五月的严霜摧凋了桂枝。,严霜五月凋桂枝
登银鞍挽金络来到平川大地。,银鞍金络到平地
一旦离开了翰林院。,一去麒麟阁
你用野蔬充饥却说食物甘美。,野蔬充膳甘长藿
我离开京城刚刚度过大庾岭，便停下车子，再次回首遥望我的家乡。,度岭方辞国，停轺一望家。
山径狭窄草木丛生。,道狭草木长
一声声渐渐靠近卧床之前。,声声移近卧床前
天空碧蓝如水夜云像沙样轻。,碧天如水夜云轻
声音精巧惊动路旁丝丝杨柳。,巧能陌上惊杨柳
风起则浪与云平。,风浪与云平
海上滔天的巨浪，像云彩般高涨，涌过去了，又急急退了回来。,海浪如云去却回
天刚放晴树上的雨滴还未全干。,深树新晴雨未干
一年曾经两次到锦城去游玩。,一年两度锦城游
外乡的人都来你县安居。,浮人若云归
怎奈事不遂心，古人尚且如此，我更是不必说了。,刘向传经心事违
东南少数民族把它看作神灵。,夷俗多所神
费尽千辛万苦回到扬子江头。,回从扬子大江头
夜宿金陵渡口的小山楼。,金陵津渡小山楼
获得攻下服城的大功。,能取聊城功
我离开京城刚刚度过大庾岭，便停下车子，再次回首遥望我的家乡。,度岭方辞国，停轺一望家。
鸳鸯鸂鶒在水中嬉戏好像家禽。,鸳鸯鸂鶒如家禽
担心承受不了圆满而先缺损。,忌满光先缺
汉代的使者何劳又去辨诬洗污。,汉使何劳獬豸冠
天气寒冷岁月已晚。,苍落岁欲晚
却看不见来自洛阳灞桥的离人。,不见洛阳人
水声激激风飘飘，掀起我的衣裳。,水声激激风吹衣
今年社日，要大大热闹一番，不知您能在这里留住否？,今年大作社，拾遗能住否。
谁料，竟然连牛郎织女也不如，想来天子也不过如此。,如何四纪为天子
更深夜阑常梦少年时作乐狂欢。,夜深忽梦少年事
却只有她独享皇帝的恩宠。,三千宠爱在一身
那么自己更应该站在高楼上回忆。,阆州应更有高楼
心里却无时无刻不在牵挂家人的平安。,家在茂陵平安否
岁月匆匆，翩翩燕子，已仓促回归。,岁月匆匆燕子回
镜湖上的月光照着我的影子。,湖月照我影
还和父兄歇宿僧房共题壁诗。,旧宿僧房壁共题
黎民百姓们像黑瘦的囚徒，流离失所于荒野。,万家墨面没蒿莱
宫禁的城门和上面的金锁直到天亮也开着。,铁关金锁彻明开
皇帝的玉辇为什么要仓皇地逃往马嵬？,玉辇何由过马嵬
江东依旧在进行艰苦的战争。,江东犹苦战
击凿山崖飞泻急速的水流。,凿崖泄奔湍
昨日渡江。,渡江如昨日
且去山中种芝草。,且当事芝术
又似胡风吹天，飘摇塞鸿。,胡风吹天飘塞鸿
而况花溪边的柴门又岂可重过？,柴门岂重过
一阵阵的晚风送来荷花的香气。,荷风送香气
绿云和着紫气一起飞向函谷关。,绿云紫气向函关
四周的空气中弥漫着浮动的尘埃。,浮埃起四远
此去就住在灵州的一个角落，每日早上可以听到报晓的号角，平时也没有什么客人来往。,灵州听晓角，客馆未开扉。
白天屋里光亮又安静。,日户昼辉静
就远纵八极无法回头。,八极纵远舵
满树碧绿依然如故毫不动情。,一树碧无情
江上的月亮又是哪一年最初照耀着人们？,江月何年初照人
人说自古春回梦不回。,万古春归梦不归
无常之风吹挑恶气云黑。,飘风吹云霓
正象鸟飞不留任何痕迹。,鸟飞无遗迹
这些多像我遥远而熟悉的故乡啊，想到这里，不由惊醒。,旧业遥清渭，沉思忽自惊。
当年贾谊上书文帝，全是忧心汉室。,贾谊上书忧汉室
如今大唐国家社稷。,今朝汉社稷
如果醉卧在沙扬上，也请你不要笑话，古来出外打仗的能有几人返回家乡？,醉卧沙场君莫笑，古来征战几人回？
使人怅望而不可一论。,使人怅望何可论
华服映我衰颓容。,丽服映颓颜
我曾在史书上拜读过您留下的诗文。,曾于青史见遗文
春风吹翻蛛网，飞虫尚且可以三面逃生。,风翻蛛网开三面
大诗人宋之问的旧山庄别墅。,宋公旧池馆
按剑怒心飞扬。,按剑心飞扬
默默相望哀伤得说不出话。,相顾怜无声
我现在来求官，等我功成名就。,功成拂衣去
朝廷下诏将我召入京城，却随意封我一个校书郎。,校书著作频诏除
夜里刮起了南风。,夜来南风起
顺着峭壁来到半空。,搏壁跻半空
蝉声高唱。,岩中响自答
不知不觉发现忽然已经衰老，今天见到你来，又感觉春风回来了。,不知忽已老，喜见春风还。
静心倾听敬亭山的猿啸。,清耳敬亭猿
我仿佛听到你途经幽静的黄牛峡时，滩上汹涌的江水发出不绝的回声。,黄牛峡静滩声转
放眼望，落木萧萧，长江滚滚流淌。,落木无边江不尽
夕阳的斜影投向高楼。,斜影下危楼
在幽香之中稍稍伫立一会儿。,小立伫幽香
待到春天做成干粮芬芳。,愿春日以为糗芳
那一株腊梅花开了没有？,寒梅著花未
它怎能受到攀折赏玩。,岂宜遇攀玩
闲来梦中又看到江南正是黄梅成熟的时光。,闲梦江南梅熟日，夜船吹笛雨萧萧。
茅屋正对着终南山。,前对终南山
只有公正的天地能洞察我报国无门的忠肝义肠。,只凭天地鉴孤忠
我到淮南去隐居待仕。,我向淮南攀桂枝
天气已经回暖，笼中的娇鸟暖还在昏睡，门帘外的落花闲来也不扫。,笼中娇鸟暖犹睡，帘外落花闲不扫。
是借助于乐器才有清妙的声音。,假器扬清音
村前村后田间地头桑柘多茂盛。,前村后垄桑柘深
因为少有人迹，路边的野花看上去颜色惨淡。,无人花色惨
真是难忘惹人恋爱。,难忘复可怜
回顾平生万事，一无所成却已经年老，余生只能像江上白鸥一样漂泊。,世事已黄发，残生随白鸥。
最终总会翱翔在万里碧空之中。,万里碧霄终一去
二十四桥明月映照幽幽清夜。,二十四桥明月夜
缭绫缭绫，跟什么相似。,缭绫缭绫何所似
江面上吹过一阵秋风。,江水漾西风
不应该丢掉报国之心。,应不废为公
悬想汉家使者在萧关之外。,遥知汉使萧关外
月亮迎着行云匆匆前行。,走月逆行云
我反复吟诵你秀美的诗句，不觉天色将晓，已听见早鸦乱啼。,向来吟秀句，不觉已鸣鸦。
地面的万物与天际分界清晰。,万象分空界
江上的狂风使船夫失色。,狂风愁杀峭帆人
鲁恭王修的灵光殿只剩下一片荒芜的城池。,荒城鲁殿馀
庭院空旷寂寞，春天景色行将逝尽。,寂寞空庭春欲晚
一生都在外颠簸漂泊。,此身飘泊苦西东
经常变换的是人间。,能变人间世
可惜这棵桃花长得不是地方，就像偏僻寒门的人才容易被忽视。,寒地生材遗校易
酒兴来时我把桥边酒家的酒都买光。,兴来买尽市桥酒
少年不知道早起勤奋学习。,黑发不知勤学早
去追求护火炼丹的要诀吧！,来求丹砂要
美人一对闲且都。,美人一双闲且都
等到征衣寄到后，恐怕苍梧地区傍晚的火星西落，时已至秋了。,苍梧大火落，暑服莫轻掷。
拂晓他急忙驾着炭车轧着冰路往集市上赶去。,晓驾炭车辗冰辙
站在山顶西望伏安。,正西望长安
只能独自依在相思树旁。,空倚相思树
深沉大度好似卧虎。,潭潭大度如卧虎
信任怜恤不挑剔你过失。,任恤庶无尤
只有一只绿鹦鹉，面对着盛开的红蔷薇。,碧鹦鹉对红蔷薇
幼女下床穿上新衣。,下床着新衣
腰间垂坠着锦带佩戴着吴地弯刀，曾经参加过防卫敌军、驰驱沙场的战斗行动。,腰垂锦带佩吴钩，走马曾防玉塞秋。
闺阁里的佳人还不到二十岁，她面对镜中的孤影，深感与丈夫离别的痛苦。,闺里佳人年十馀，嚬蛾对影恨离居。
巍峨的白门前，秋风阵起，吹拂着萧疏的柳条。,秋风疏柳白门前
《禹贡》记述的土田啊，要推那“陆海”最是肥沃。,禹贡土田推陆海
饿了就吃松果，渴了就喝山泉，偶而从山后漫步到山前。,饥拾松花渴饮泉，偶从山后到山前。
事物可贵之处是合其情性。,物生贵得性
头上是暖暖的阳光和淡淡的云朵，脚底青草茂盛主动牵惹游人的衣襟，柳絮纷飞洒落在身上。,春云淡淡日辉辉，草惹行襟絮拂衣。
小奴绑缚了鸡子预备上市出售。,小奴缚鸡向市卖
它平生不敢轻易鸣叫，它叫的时候，千家万户的门都打开。,平生不敢轻言语，一叫千门万户开。
和煦的太阳照耀着大地，积雪大半已消融，解冻的路面布满泥泞，经冬的野草茁出了新芽，原野上一片青葱，马声洪亮，催促主人上路。,日暖泥融雪半消，行人芳草马声骄。
楚国千里迢迢还远在天涯。,楚国在天涯
鲜鱼肥肉是夏令禁食的荤腥。,鲜肥属时禁
惊得夜鸟群起乱叫。,群鸟皆夜鸣
稍微有些经纬稀疏的帛才是最宜人的。,些些纰缦最宜人
先师有诀神必将相助。,先师有诀神将助
山上那摇落的树干仿佛正在倾听那挟带着三百年金陵王气的涛声。,地销王气波声急
闽南住久了，瘴疠也不必心悸。,南天瘴疠和
恐怕是仙人们喜欢别离。,恐是仙家好别离
他们特地趁黑夜悄悄过钓台。,特地通宵过钓台
明月当空，使战场悲凉起来。,白月横空冷战场
我可是把你佩服得不行。,而我钦清芬
左顾右盼，小窗外总不见天明。,小窗终未明
我想去城南，却望着城北。,欲往城南望城北
寂静中愈感觉清晖可弄。,寂静娱清辉
满院的杨花再也无法随风飘飘荡荡。,满院杨花飞不起
朝廷中分等授予官职，依赖着执政大臣。,朝廷列爵待公卿
边塞却已经十分寒冷，战士们只能在严霜中风餐露宿。,鞴马宿严霜
抬头仰望明月长空。,烟霄微月澹长空
春风里处处都盛开着枳壳花。,处处春风枳壳花
国难当头，岂敢吝惜性命。,济时敢爱死
楼阁上的仕女与别人相对望而不知对方是谁。,楼前相望不相知
江面月影好似天上飞来的明镜。,月下飞天镜
雨水敲打着归去的船就像我的眼泪一行行落下。,雨打归舟泪万行
夜晚我屡屡梦中见到你。,三夜频梦君
天空的正中游动着一轮孤月。,青天中道流孤月
此时正好登上高楼去远望。,如今好上高楼望
夔州的高城上又迎来了落日。,夔府孤城落日斜
眼眉下垂着长长的睫毛。,华盖垂下睫
敦煌郡的太守既才且贤。,敦煌太守才且贤
长风吹着船帆，其势一往无前。,长风挂席势难回
沿着溪水转，恍如王子猷山阴雪后寻访戴安道。,疑是山阴雪后来
何苦如此在空中折腾？,无翅强摇空
我爱眼前之酒。,我爱眼前酒
像关门令尹谁能够认识清楚。,关门令尹谁能识
气势凌人。,盟歃气已粗
暂且借这一怀美酒振奋精神。,暂凭杯酒长精神
而月亮依然是恒久的！,翛然是玉京
小子我离别了金陵。,小子别金陵
好滋润干枯的心田。,安得沾枯散
空落落的庭院回廊四合，锁满了一园寂寞。,回廊四合掩寂寞
有一万多里，蓦然生愁。,愁看直北是长安
我这今日的边让想起奖进贤能的蔡邕，无心制曲吟诗，只好闲卧春风中。,边让今朝忆蔡邕，无心裁曲卧春风。
潮水涨落有一定周期，比较可信，而大风的起止却难以预料了。,潮水定可信，天风难与期。
每天清晨在长生殿，明皇与责妃成对成双。,平明每幸长生殿
一丛一丛的秋菊环绕着房屋好似到了陶渊明的家。,秋丛绕舍似陶家
自惭这样长久地孤独沉沦。,以我独沉久
河上的桥梁幸好还没有冲毁，桥柱子却吱吱呀呀，摇晃震颇。,河梁幸未坼，枝撑声窸窣。
北邙山没有留下空闲土地。,北邙未省留闲地
要去向西家邻居打听情况。,欲去问西家
屈原遭放逐到处流落他的形容就犹如乱蓬。,屈原憔悴去如蓬
独坐在小岛上兴味无穷。,中坐兴非一
王者之师不必交战即可使敌人屈服。,无战王者师
世间兴衰，桑海桑田，唯一不变的是。,青山不与兴亡事
雨后凉风，它藏在绿树丛中声声哀啼。,雨暗不离浓绿树
少年时虽不像班超投笔从戎。,少小虽非投笔吏
响遍令人肠断的边关之声。,肠断玉关声
车马驰骋，半是旧官显骄横。,冠盖雍容半旧卿
拿着一支短笛，随口吹着，也没有固定的声腔。,短笛无腔信口吹
饮宴歌舞，直至乌啼夜残天亮。,乌啼夜阑景
弹琴饮酒的乐处两相得到。,琴鸣酒乐两相得
酒醒后孤枕难眠，又看到北雁南飞。,酒醒孤枕雁来初
蜀王出奔还没有消息的时候。,蜀王无近信
路上的人走来走去，它们都不躲开，忽然听到水里哗啦一声响，它们吓一跳，“轰”的一下一齐飞了起来。,过尽行人都不起，忽闻水响一齐飞。
在寒雨中，岳王祠庙满是黄叶堆积，青山野坟间白云霭霭。,黄叶古祠寒雨积，清山荒冢白云多。
年年岁岁繁花依旧。,年年岁岁花相似
江流波涛九道如雪山奔淌。,白波九道流雪山
如今正好是同欢乐的大好时光，夫君一去，我的青春容华谁得知？,如今正好同欢乐，君去容华谁得知。
白足和尚何日来。,何当移白足
发愁适合观赏而不适合攀登。,却愁宜看不宜登
月光犹有圆缺盈亏。,圆光过满缺
子美的文气更加雄豪，仿佛是大地嘘气，万窍怒号。,子美气尤雄，万窍号一噫。
黄昏时来到空潭隐蔽之地。,薄暮空潭曲
但你又怎比得上当年的唐明皇呢，他总还是与杨玉环有过比翼鸟、连理枝的誓愿。,何如薄幸锦衣郎，比翼连枝当日愿。
这些盐民们为什么这么劳苦辛酸。,鬻海之民何苦门
别用遥远处的西江水。,莫持西江水
想来江山之外。,思来江山外
正值壮年却又遇上丧妻之痛。,壮岁失婵娟
哪里会害怕见到轮台月。,岂能愁见轮台月
可是贼心难料。,岂意贼难料
案几上堆满了沾满尘埃的书简。,堆几尽埃简
只觉得酒筵上要笑笑不出声。,唯觉樽前笑不成
它不辞砍伐又有谁能够采送？,未辞翦伐谁能送
千年遗恨，在于刘备失策想吞吴。,遗恨失吞吴
五月盛开的榴花红似火。,五月榴花照眼明
吞下仙丹使自己容貌鲜嫩永远年轻。,年貌可长新
到最后却没分得半粒粮食。,未曾分得谷
一朝成仙飞间蓬莱仙境。,一朝向蓬海
经雨芭蕉枝粗叶大，山栀更肥壮。,芭蕉叶大栀子肥
起床徘徊，俯仰天地，只见到一片孤寂凄凉。,起看天地色凄凉
无时无刻不在悠悠地流向家乡。,无日不悠悠
应当征战边疆。,战伐有功业
在深秋的夜晚，弹奏起吴丝蜀桐制成精美的箜篌。,吴丝蜀桐张高秋
惭愧我无洋洋兮若江河般的流水声韵。,愧非流水韵
斯人已逝传记墨痕空留史册。,空传馀竹帛
醉眼朦胧只见窗外月光。,月明犹许醉中看
便渲染出满堂风雨寒气凛然。,满堂风雨不胜寒
胭脂井到现在只剩下让人悲叹的故事了，明明之前皇帝和后妃在里面海誓山盟，要求同生共死的。,景阳宫井剩堪悲，不尽龙鸾誓死期。
城内有于谦尚书守城。,内有于尚书
今日成为凄凉的断根之草。,今成断根草
汤帝容不下陈后主的爱妃张丽华，把她处死了。,炀帝难留张丽华
有关楚天云雨的诗章被认为全都可疑。,楚天云雨尽堪疑
凋零之情就如同这远客的遭遇。,飘零似客心
想要归去的目光随着北归的大雁消失在天边。,归目并随回雁尽
侍女捧出美酒，劝我细细品尝。,吴姬压酒唤客尝
白草连天大火漫天燃烧。,白草连天野火烧
奋勇搏杀，没人敢上前招应。,杀人莫敢前
无数山岩重叠，道路盘旋弯曲，方向不定。,千岩万转路不定
寄给您千里之外的遥遥相思与祝福。,寄君千里遥相忆
妻子和孩子们没想到我还活着。,妻孥怪我在
只是在山石看着江上的浮云。,石上看江云
长安城蜿蜒曲折，重重叠叠宏伟壮丽。,逶迤城阙重
如今战争这样残酷频繁。,战气今如此
回头来却打算嘲笑春风。,却拟笑春风
望着天空上快落下的太阳自己有一丝愧疚，没有早上美丽的晨霞，也不会有黄昏邂逅的七彩。,萦空惭夕照，破彩谢晨霞。
正碰到江风浩荡。,正逢浩荡江上风
我怀着满腔的情意，再三要留住花梢的露水。,殷勤留著花梢露
采莲女的罗裙绿得像荷叶一样。,荷叶罗裙一色裁
满山的树色青青，使身着青袍的白少府更为威武。,树色引青袍
谁能料到现在却让我在这里袖手观望！,谁料如今袖手看
 哪里会染上什么尘埃？,何处惹尘埃
离亭门外杨柳青青。,客亭门外柳
手里织布身无衣。,手织身无衣
也曾经变为清清的细水流。,复作清浅流
一生心存高洁无人理解。,一生清意无人识
登上西亭便与浮云相齐。,客到与云齐
几番呜咽的画角催落着红日。,几番画角催红日
把古楚越大地包揽胸前。,登览穷楚越
我终日或游走于山崖峻岭中。,渴日绝壁出
依稀之间，船外似见朦胧一山影。,仿佛一峰船外影
就这样一年一年周而复始地辛苦劳动，一刻都得不到休息，心情一刻也得不到放松，每天都在为怎么也还不清的债务而发愁。,周而复始无休息
冰气像庭中霜累积。,气似庭霜积
春风骀荡，景色宜人，我来辞别往日最喜爱的湖上亭。,好是春风湖上亭
偶尔遇上门打开。,去年敕使因斫竹
海涛汹涌浸蚀城根棵棵老树含秋。,海浸城根老树秋
龟灵占卜要将龟开膛破肚。,龟灵未免刳肠患
古代曾有王羲之写黄庭经向山阴道士换鹅的韵事。,山阴道士如相见
酒店里有时留下踪影。,酒肆或淹留
就像清净不起波澜的古井水！,妾心古井水
不要把阿胶向黄河里倾倒。,莫把阿胶向此倾
而诗人穷困失意，谁也没有超过李君。,就中沦落不过君
凝聚起来的光芒悠悠地象寒露坠落下来。,凝光悠悠寒露坠
一再辞谢而不敢进餐。,三谢不能餐
宴席上没有管弦乐声，只有军乐阵阵。,华筵鼓吹无桐竹
秋风在夜晚暗暗吹过边塞的河流，吹过雁门的桑田，边地一片萧瑟。,秋风夜渡河，吹却雁门桑。
慈乌失去了它的母亲。,慈乌失其母
深秋的寒气聚集在南涧。,秋气集南涧
或许意外收获一株老藤树杖。,兼将老藤杖
普天之下哪个不识君？,天下谁人不识君
不要把龙须席子卷起来，任它落满灰尘，生满蛛网。,莫卷龙须席，从他生网丝。
那时可以随心所欲翻动神仙洞窟一般的松树根系。,翻动神仙窟
秋霜降落洞庭满地飞木叶。,霜落洞庭飞木叶
